All quantity in meters
x_center	y_center	win width	Te	w rms
-128000.0	-24000.0	96000.0	6000.0	5.64913537033
-128000.0	-32000.0	96000.0	5800.0	5.63109442277
-128000.0	-40000.0	96000.0	5800.0	5.59070317856
-128000.0	-48000.0	96000.0	5800.0	5.51798958605
-128000.0	-56000.0	96000.0	5600.0	5.40484718618
-128000.0	-64000.0	96000.0	5600.0	5.24678077595
-128000.0	-72000.0	96000.0	5600.0	5.04384400994
-128000.0	-80000.0	96000.0	5400.0	4.80050179378
-128000.0	-88000.0	96000.0	5400.0	4.5244996971
-128000.0	-96000.0	96000.0	5400.0	4.22514602173
-128000.0	-104000.0	96000.0	5400.0	3.91172178414
-128000.0	-112000.0	96000.0	5200.0	3.5929070382
-128000.0	-120000.0	96000.0	5200.0	3.27775296398
-128000.0	-128000.0	96000.0	5200.0	2.97720259642
-128000.0	-136000.0	96000.0	5200.0	2.97720259642
-128000.0	-144000.0	96000.0	5200.0	2.46643604844
-128000.0	-152000.0	96000.0	5400.0	2.26908746909
80000.0	-88000.0	96000.0	5200.0	6.65607818329
72000.0	48000.0	96000.0	6600.0	11.4881649075
-96000.0	80000.0	96000.0	6800.0	6.34454441343
-96000.0	-72000.0	96000.0	5400.0	6.55792400392
