All quantity in meters
x_center	y_center	win width	Te	w rms
-120000.0	-96000.0	104000.0	5400.0	39.2310324304
-144000.0	-96000.0	104000.0	5360.0	26.8474418692
0.0	-96000.0	104000.0	4800.0	111.806738038
24000.0	-96000.0	104000.0	4880.0	113.813716336
48000.0	-96000.0	104000.0	5040.0	108.953301273
72000.0	-96000.0	104000.0	5200.0	90.7424417338
96000.0	-96000.0	104000.0	5320.0	64.8373544509
120000.0	-96000.0	104000.0	5400.0	39.1425632309
144000.0	-96000.0	104000.0	5360.0	26.8187943694
-24000.0	-120000.0	104000.0	5080.0	70.6222707041
-48000.0	-120000.0	104000.0	5120.0	62.1216914005
-72000.0	-120000.0	104000.0	5160.0	49.6112604544
-96000.0	-120000.0	104000.0	5200.0	35.1489720347
-120000.0	-120000.0	104000.0	5200.0	22.9532711092
-144000.0	-120000.0	104000.0	5200.0	19.5945354527
0.0	-120000.0	104000.0	5040.0	73.4377623444
24000.0	-120000.0	104000.0	5080.0	70.6474742063
48000.0	-120000.0	104000.0	5120.0	62.131827254
72000.0	-120000.0	104000.0	5160.0	49.6266578248
96000.0	-120000.0	104000.0	5200.0	35.2226233492
120000.0	-120000.0	104000.0	5200.0	23.0171002688
144000.0	-120000.0	104000.0	5200.0	19.5161467565
-24000.0	-144000.0	104000.0	5000.0	73.9557119949
-48000.0	-144000.0	104000.0	5000.0	68.6601093375
-72000.0	-144000.0	104000.0	5040.0	61.678389886
-96000.0	-144000.0	104000.0	5080.0	50.0621810203
-120000.0	-144000.0	104000.0	5160.0	37.8334744901
-144000.0	-144000.0	104000.0	5280.0	29.7607190717
0.0	-144000.0	104000.0	4960.0	76.6083105208
24000.0	-144000.0	104000.0	5000.0	73.969128421
48000.0	-144000.0	104000.0	5000.0	68.6456332535
72000.0	-144000.0	104000.0	5040.0	61.6107663026
96000.0	-144000.0	104000.0	5080.0	49.9754101515
120000.0	-144000.0	104000.0	5160.0	37.7106641144
144000.0	-144000.0	104000.0	5280.0	29.6593316164
-24000.0	0.0	104000.0	6080.0	417.264589079
-48000.0	0.0	104000.0	6080.0	345.356604707
-72000.0	0.0	104000.0	6080.0	243.108183237
-96000.0	0.0	104000.0	6040.0	137.785239422
-120000.0	0.0	104000.0	6040.0	61.534247059
-144000.0	0.0	104000.0	6040.0	51.8448612547
0.0	0.0	104000.0	6080.0	442.780044674
24000.0	0.0	104000.0	6080.0	417.132170757
48000.0	0.0	104000.0	6080.0	345.065688939
72000.0	0.0	104000.0	6080.0	242.807797736
96000.0	0.0	104000.0	6040.0	137.687269531
120000.0	0.0	104000.0	6040.0	61.6293982555
144000.0	0.0	104000.0	6040.0	51.8786307104
-24000.0	24000.0	104000.0	6320.0	339.037072505
-48000.0	24000.0	104000.0	6320.0	281.584392476
-72000.0	24000.0	104000.0	6280.0	200.591487998
-96000.0	24000.0	104000.0	6240.0	115.722321375
-120000.0	24000.0	104000.0	6200.0	54.4638215391
-144000.0	24000.0	104000.0	6200.0	51.5648680013
0.0	24000.0	104000.0	6320.0	359.881414946
24000.0	24000.0	104000.0	6320.0	339.097276612
48000.0	24000.0	104000.0	6320.0	281.66089131
72000.0	24000.0	104000.0	6280.0	200.694676549
96000.0	24000.0	104000.0	6240.0	115.926468949
120000.0	24000.0	104000.0	6200.0	54.6787910431
144000.0	24000.0	104000.0	6200.0	51.6507185364
-24000.0	48000.0	104000.0	6680.0	196.23437514
-48000.0	48000.0	104000.0	6680.0	166.795981637
-72000.0	48000.0	104000.0	6640.0	127.391505725
-96000.0	48000.0	104000.0	6520.0	85.1568256481
-120000.0	48000.0	104000.0	6400.0	51.5650451044
-144000.0	48000.0	104000.0	6360.0	53.4097122564
0.0	48000.0	104000.0	6680.0	207.487408964
24000.0	48000.0	104000.0	6680.0	196.389051973
48000.0	48000.0	104000.0	6680.0	167.081973516
72000.0	48000.0	104000.0	6640.0	127.724505006
96000.0	48000.0	104000.0	6520.0	85.4763761903
120000.0	48000.0	104000.0	6400.0	51.8588785017
144000.0	48000.0	104000.0	6360.0	53.5976355874
-24000.0	72000.0	104000.0	7080.0	95.6151667447
-48000.0	72000.0	104000.0	7040.0	95.6379956227
-72000.0	72000.0	104000.0	6920.0	93.6128163715
-96000.0	72000.0	104000.0	6680.0	75.885245167
-120000.0	72000.0	104000.0	6520.0	50.4532569325
-144000.0	72000.0	104000.0	6480.0	51.6400099606
0.0	72000.0	104000.0	7080.0	96.0745589295
24000.0	72000.0	104000.0	7080.0	95.742831786
48000.0	72000.0	104000.0	7040.0	95.8925324875
72000.0	72000.0	104000.0	6920.0	93.8812408364
96000.0	72000.0	104000.0	6680.0	76.1971087897
120000.0	72000.0	104000.0	6520.0	50.7853902521
144000.0	72000.0	104000.0	6480.0	51.8611248004
-24000.0	96000.0	104000.0	7120.0	82.5909513097
-48000.0	96000.0	104000.0	7040.0	80.8776347646
-72000.0	96000.0	104000.0	6880.0	72.2034511007
-96000.0	96000.0	104000.0	6720.0	51.5423673007
-120000.0	96000.0	104000.0	6640.0	34.4269387833
-144000.0	96000.0	104000.0	6640.0	42.4068271273
0.0	96000.0	104000.0	7160.0	83.4342293516
24000.0	96000.0	104000.0	7120.0	82.6860135093
48000.0	96000.0	104000.0	7040.0	81.0466959241
72000.0	96000.0	104000.0	6880.0	72.4105505611
96000.0	96000.0	104000.0	6720.0	51.8088078527
120000.0	96000.0	104000.0	6640.0	34.6618728993
144000.0	96000.0	104000.0	6640.0	42.5374453198
-24000.0	120000.0	104000.0	6840.0	44.1675168668
-48000.0	120000.0	104000.0	6840.0	38.2371419579
-72000.0	120000.0	104000.0	6800.0	30.037850046
-96000.0	120000.0	104000.0	6800.0	20.4090186245
-120000.0	120000.0	104000.0	6800.0	17.260916706
-144000.0	120000.0	104000.0	6800.0	32.6949297822
0.0	120000.0	104000.0	6800.0	47.1140476136
24000.0	120000.0	104000.0	6840.0	44.1776847279
48000.0	120000.0	104000.0	6840.0	38.2434949637
72000.0	120000.0	104000.0	6800.0	30.0519757893
96000.0	120000.0	104000.0	6800.0	20.432367695
120000.0	120000.0	104000.0	6800.0	17.3366280256
144000.0	120000.0	104000.0	6800.0	32.7716393206
-24000.0	144000.0	104000.0	6800.0	24.0608486526
-48000.0	144000.0	104000.0	6840.0	22.8543606446
-72000.0	144000.0	104000.0	6840.0	20.5500825556
-96000.0	144000.0	104000.0	6840.0	16.9482563479
-120000.0	144000.0	104000.0	6880.0	15.9700315224
-144000.0	144000.0	104000.0	6880.0	28.1734336819
0.0	144000.0	104000.0	6800.0	24.6844483164
24000.0	144000.0	104000.0	6800.0	24.0431507089
48000.0	144000.0	104000.0	6840.0	22.8183269114
72000.0	144000.0	104000.0	6840.0	20.5292119522
96000.0	144000.0	104000.0	6840.0	16.9730971195
120000.0	144000.0	104000.0	6880.0	16.0925657048
144000.0	144000.0	104000.0	6880.0	28.2398250421
