All quantity in meters
x_center	y_center	win width	Te	w rms
925000.0	-3645000.0	10000.0	11250.0	10.2429812265
925000.0	-3660000.0	10000.0	11700.0	12.1677376438
925000.0	-3675000.0	10000.0	10350.0	18.5967592771
935000.0	-3435000.0	10000.0	7950.0	20.4548791793
940000.0	-3450000.0	10000.0	7800.0	10.6600620857
940000.0	-3465000.0	10000.0	7800.0	9.78123958557
940000.0	-3480000.0	10000.0	7800.0	10.2603135861
940000.0	-3495000.0	10000.0	7800.0	9.12492620934
940000.0	-3510000.0	10000.0	7950.0	10.7754327519
940000.0	-3525000.0	10000.0	8100.0	11.6397247784
940000.0	-3540000.0	10000.0	8700.0	12.0896356468
940000.0	-3555000.0	10000.0	9000.0	9.23074587857
940000.0	-3570000.0	10000.0	9150.0	29.2902929067
940000.0	-3585000.0	10000.0	10650.0	42.5433948535
940000.0	-3600000.0	10000.0	10650.0	20.0252356587
940000.0	-3615000.0	10000.0	10050.0	5.05040509432
940000.0	-3630000.0	10000.0	10200.0	7.54847395554
940000.0	-3645000.0	10000.0	10650.0	12.3410153827
940000.0	-3660000.0	10000.0	10950.0	10.4830437468
940000.0	-3675000.0	10000.0	10500.0	16.0369311539
955000.0	-3435000.0	10000.0	8400.0	19.4359973088
955000.0	-3450000.0	10000.0	8100.0	21.2886846806
955000.0	-3465000.0	10000.0	8250.0	28.2199870445
955000.0	-3480000.0	10000.0	8400.0	28.9029241589
955000.0	-3495000.0	10000.0	8100.0	17.3393390441
955000.0	-3510000.0	10000.0	7950.0	10.284607861
955000.0	-3525000.0	10000.0	8100.0	5.80120234343
955000.0	-3540000.0	10000.0	7950.0	8.10492442361
955000.0	-3555000.0	10000.0	8400.0	13.7817470907
955000.0	-3570000.0	10000.0	9300.0	18.4934273824
955000.0	-3585000.0	10000.0	10050.0	14.2941908568
955000.0	-3600000.0	10000.0	10050.0	10.1360889273
955000.0	-3615000.0	10000.0	9900.0	6.66615881442
955000.0	-3630000.0	10000.0	10050.0	9.46218690785
955000.0	-3645000.0	10000.0	10350.0	13.4167634789
955000.0	-3660000.0	10000.0	10500.0	8.44020030342
955000.0	-3675000.0	10000.0	10200.0	16.1178306995
970000.0	-3435000.0	10000.0	8700.0	47.0659172976
970000.0	-3450000.0	10000.0	8850.0	65.1487116482
970000.0	-3465000.0	10000.0	5400.0	50.9047498104
970000.0	-3480000.0	10000.0	6300.0	30.7563397888
970000.0	-3495000.0	10000.0	7350.0	21.6334766465
